date,code
1884-09-05,sa_024r_0020_0090_0160
1884-09-06,sa_024r_0020_0090_0170
1884-09-07,sa_024r_0020_0090_0180
1884-09-08,sa_024r_0020_0090_0190
1884-09-09,sa_024r_0020_0090_0200
1884-09-10,sa_024r_0020_0090_0210
1884-09-11,sa_024r_0020_0090_0220
1884-09-12,sa_024r_0020_0090_0230
1884-09-13,sa_024r_0020_0090_0240
1884-09-14,sa_024r_0020_0090_0250
1884-09-15,sa_024r_0020_0090_0260
1884-09-16,sa_024r_0020_0090_0270
1884-09-17,sa_024r_0020_0090_0280
1884-09-18,sa_024r_0020_0090_0290
1884-09-19,sa_024r_0020_0100_0010
1884-09-20,sa_024r_0020_0100_0020
1884-09-21,sa_024r_0020_0100_0030
1884-09-22,sa_024r_0020_0100_0040
1884-09-23,sa_024r_0020_0100_0050
1884-09-24,sa_024r_0020_0100_0060
1884-09-25,sa_024r_0020_0100_0070
1884-09-26,sa_024r_0020_0100_0080
1884-09-27,sa_024r_0020_0100_0090
1884-09-28,sa_024r_0020_0100_0100
1884-09-29,sa_024r_0020_0100_0110
1884-09-30,sa_024r_0020_0100_0120
1884-10-01,sa_024r_0020_0100_0130
1884-10-02,sa_024r_0020_0100_0140
1884-10-03,sa_024r_0020_0100_0150
1884-10-04,sa_024r_0020_0100_0160
1884-10-05,sa_024r_0020_0100_0170
1884-10-06,sa_024r_0020_0100_0180
1884-10-07,sa_024r_0020_0100_0190
1884-10-08,sa_024r_0020_0100_0200
1884-10-09,sa_024r_0020_0100_0210
1884-10-10,sa_024r_0020_0100_0220
1884-10-11,sa_024r_0020_0100_0230
1884-10-12,sa_024r_0020_0100_0240
1884-10-13,sa_024r_0020_0100_0250
1884-10-14,sa_024r_0020_0100_0260
1884-10-15,sa_024r_0020_0100_0270
1884-10-16,sa_024r_0020_0100_0280
1884-10-17,sa_024r_0020_0100_0290
1884-10-18,sa_024r_0020_0100_0300
1884-10-19,sa_024r_0020_0110_0010
1884-10-20,sa_024r_0020_0110_0020
1884-10-21,sa_024r_0020_0110_0030
1884-10-22,sa_024r_0020_0110_0040
1884-10-23,sa_024r_0020_0110_0050
1884-10-24,sa_024r_0020_0110_0060
1884-10-25,sa_024r_0020_0110_0070
1884-10-26,sa_024r_0020_0110_0080
1884-10-27,sa_024r_0020_0110_0090
1884-10-28,sa_024r_0020_0110_0100
1884-10-29,sa_024r_0020_0110_0110
1884-10-30,sa_024r_0020_0110_0120
1884-10-31,sa_024r_0020_0110_0130
1884-11-01,sa_024r_0020_0110_0140
1884-11-02,sa_024r_0020_0110_0150
1884-11-03,sa_024r_0020_0110_0160
1884-11-04,sa_024r_0020_0110_0170
1884-11-05,sa_024r_0020_0110_0180
1884-11-06,sa_024r_0020_0110_0190
1884-11-07,sa_024r_0020_0110_0200
1884-11-08,sa_024r_0020_0110_0210
1884-11-09,sa_024r_0020_0110_0220
1884-11-10,sa_024r_0020_0110_0230
1884-11-11,sa_024r_0020_0110_0240
1884-11-12,sa_024r_0020_0110_0250
1884-11-13,sa_024r_0020_0110_0260
1884-11-14,sa_024r_0020_0110_0270
1884-11-15,sa_024r_0020_0110_0280
1884-11-16,sa_024r_0020_0110_0290
1884-11-17,sa_024r_0020_0110_0300
1884-11-18,sa_024r_0020_0120_0010
1884-11-19,sa_024r_0020_0120_0020
1884-11-20,sa_024r_0020_0120_0030
1884-11-21,sa_024r_0020_0120_0040
1884-11-22,sa_024r_0020_0120_0050
1884-11-23,sa_024r_0020_0120_0060
1884-11-24,sa_024r_0020_0120_0070
1884-11-25,sa_024r_0020_0120_0080
1884-11-26,sa_024r_0020_0120_0090
1884-11-27,sa_024r_0020_0120_0100
1884-11-28,sa_024r_0020_0120_0110
1884-11-29,sa_024r_0020_0120_0120
1884-11-30,sa_024r_0020_0120_0130
1884-12-01,sa_024r_0020_0120_0140
1884-12-02,sa_024r_0020_0120_0150
1884-12-03,sa_024r_0020_0120_0160
1884-12-04,sa_024r_0020_0120_0170
1884-12-05,sa_024r_0020_0120_0180
1884-12-06,sa_024r_0020_0120_0190
1884-12-07,sa_024r_0020_0120_0200
1884-12-08,sa_024r_0020_0120_0210
1884-12-09,sa_024r_0020_0120_0220
1884-12-10,sa_024r_0020_0120_0230
1884-12-11,sa_024r_0020_0120_0240
1884-12-12,sa_024r_0020_0120_0250
1884-12-13,sa_024r_0020_0120_0260
1884-12-14,sa_024r_0020_0120_0270
1884-12-15,sa_024r_0020_0120_0280
1884-12-16,sa_024r_0020_0120_0290
1884-12-17,sa_024r_0020_0130_0010
1884-12-18,sa_024r_0020_0130_0020
1884-12-19,sa_024r_0020_0130_0030
1884-12-20,sa_024r_0020_0130_0040
1884-12-21,sa_024r_0020_0130_0050
1884-12-22,sa_024r_0020_0130_0060
1884-12-23,sa_024r_0020_0130_0070
1884-12-24,sa_024r_0020_0130_0080
1884-12-25,sa_024r_0020_0130_0090
1884-12-26,sa_024r_0020_0130_0100
1884-12-27,sa_024r_0020_0130_0110
1884-12-28,sa_024r_0020_0130_0120
1884-12-29,sa_024r_0020_0130_0130
1884-12-30,sa_024r_0020_0130_0140
